text,scene
I'll make you a bet. I go back to your place or you take me home to my twin bed and roommate.,78
What's the bet?,78
This is kind of a stupid bet.,79
Why'd you agree?,79
"Apparently, I'm kind of a stupid guy.",79
Making me laugh isn't going to help you.,79
I was a gymnast until I hit a growth spurt my freshman year.,79
So I win.,79
So.,79
So...let's go back to your place.,79
Sara?,80
Mmmm?,80
"Sara, you answered. Thank you. Can we talk... about us?",80
I miss you.,80
You do?,80
"I want you, Jason.",80
"I.. . want you, too. But...",80
I miss touching you. Do you miss touching me?,80
Like you wouldn't believe.,80
Prove it.,80
Just give me thirty seconds.,81
You're kidding.,81
Almost there.,82
I'm going to start taking my clothes off out here.,82
"Yeah, right.",82
Oops! There goes my shirt...,82
"You know I don't believe you. Wait, goddamnit, that's supposed to be my strip tease.",82
There go the jeans.,82
I'm just going to put your clothes back on and make you strip again.,82
Hmmm. What's next? Top or bottom?,82
"Who do we have here? Hey guys! Let me ask you. Bra or panties? Bra? Okay, okay. Just calm down.",83
I knew you didn't have the guts.,83
"Say my name, Jason. Until I tell you to stop.",84
Sara... Sara... Sara...,84
Sara...,85
Sara... Sara...,86
"Jesus, Sara. That was incredible.",86
I miss you so much.,86
Don't ever call me again.,86
"Well, good morning.",88
Hey. Sorry I didn't call. I forgot my phone.,88
No problem.,88
Come on...don't I get any details??,88
A nice girl doesn't kiss and tell.,88
You want to go get some breakfa,88
Oh no.,88
"Is this your cat, Sara?",89
Maybe...,89
She's cute...,89
"And if you keep her, I lose my job. Do we understand each other?",89
Yes.,89
What took you so long?,90
I walked.,90
You didn't!,90
It's ten bucks for a cab and I'm a student.,90
Sara! You can't just walk around downtown L.A. at night. This is not Des Moines.,90
Duh?,90
"Seriously, listen to me. That's why I own a gun.",90
What?!,90
Absolutely! Big cities are crawling with crazies.,90
"Hey. Oh, Hi. Yeah, I'm over at Irene's. I meant to leave you a note. Uh huh, uh huh, oh! That's a good idea. Let me check, hold on.",90
Do you like cats?,90
"Yeah, why?",90
We have to get rid of one.,90
Can't. Travel too much. Poor thing would starve to death.,90
"You're right. No, she can't. Huh? Oh I don't know... whenever I get there. Bye.",90
Who was that?,90
My roommate. More than a little overprotective.,90
That's no fun.,90
"So, where is it?",90
What?,90
You said you had a surprise for me?,90
Oh yeah. I went through my closet. There's nothing here I've worn in the past six months.,90
"You're kidding, all of these?! Oh no.",90
What ...what?,90
We have no closet space at the dorms. Rebecca's already using half of mine.,90
"Oh my God, I just had the best idea.",90
What?,90
Why don't you move in here with me?,90
Seriously?,90
"Yeah, I'm never here. The place is huge. Ditch the roommate. And, the building allows pets.",90
Huh. Let me talk to Rebecca about it.,90
"Great. So, how's Jason? I really liked him.",90
We broke up.,90
Yeah ...he sucked.,90
Hey. What're those?,91
Irene gave them to me. She had a lot more but we don't have the room.,91
"Too bad she couldn't take Cuddles, huh?",91
"Well, maybe that's not a problem.",91
Really?,91
Yeah. She actually suggested that I move in with her.,91
What? You want to move?,91
"No, of course not. I love living here... with you.",91
"Look, I'd still technically be living here. So you wouldn't have to get a new roommate. Her place is huge and it's not like you couldn't use the extra closet space. I'd just move some of my stuff over, and spend a few nights a week there. We'd both have a lot more space.",91
I don't want more space. I want...,91
Nothing's set in stone. It's just something to think about. Plus we'd be able to keep Cuddles.,91
Tracy!,92
Tracy... hey.,92
"Oh, hey.",92
I heard you changed dorms.,92
"Yeah, Conrad Hall. Seemed like a better vibe.",92
"Well, we should get together. Like grab a bite or something. Right?",92
