text,scene
Morgan?,35
"It gets clearer, the higher you hold it.",35
"Morgan, be careful.",35
I got him.,35
Hold on.,35
Merrill you got her.,35
Stop!,35
There's two of them talking.,35
They hung up.,35
You know something?  Even entertaining the possibility of this for a minute has been exciting.,37
I can see how people can get carried away with this type of thing.,37
It's a kind of faith.  It's an intoxicating thing to believe in something you can't see.,37
You were always good at that...,37
Believing in things you couldn't see. You would have been the first person on that station wagon wouldn't you?  You and Morgan would have been wrestling for that baby monitor.,37
"It'll be secretly kind of sad for everybody, when this turns out to be   all just make believe.",37
"You're wasting your time here!  I'm not going to report this or anything you do to me crops, to the news or TV or anybody!  You're not going to get famous!",37
Okay. Let's turn on the TV.,38
first appeared fifty two minutes ago.,39
Fourteen.,39
Mexico City officials as well as U.S. officials have confirmed that these are not air crafts from either government's airforce.  The first sighting was made by an Air Mexico 747 en route from Mazatlan to New York as the unidentified crafts entered Mexico City air space.  They were not detected by radar by either country.,39
The crazies were right.,39
We have to tape this...,39
My ballet recital.,39
Listen Bo.  This is very important. Everything people have written about in science books is going to change.  The history of the world's future is on the TV right now.  We need to record this so you can show your children this tape and say you were there... For your children Bo.,39
My ballet recital.,39
Dad!,39
Find another tape.,39
"Uncle Merrill, I'm using your tape.",39
... You're seeing a live feed from our NBC affiliate down in Mexico City.  The time there is 7:17pm. This image has not been adjusted or enhanced in any way.  What you're seeing is real. Everything they wrote in science books is about to change.,39
Told you.,39
Some people are probably thinking this is the end of the world.,40
That's true.,40
Do you think it's a possibility?,40
Yes.,40
How can you say that?,40
That wasn't the answer you wanted?,40
Can you at least pretend to be like you used to be?  Give me some comfort?,40
"... There are all different ways you can tell that there's someone really there watching out for us. You see signs.  Sometimes they're little ones.  You think of someone. The phone rings.  They're on the phone... Sometimes they're big, like fourteen lights hovering over Mexico City. Sure, there are a lot of people watching this who think this could be a bad thing.  But there are a lot of people watching this, who think it's a miracle.  A sign of God's existence.  It's all in how you look at things Merrill. What you have to decide is what kind of person you are?  Are you the type who believes in miracles and looks for signs or are you the kind who believes, things just happen by chance?",40
"I was at this party once.  I'm on a couch with Sara Mckinney.  She was just sitting there, looking beautiful and staring at me.  I go to lean in and kiss her and I realize I have gum in my mouth.  I turn and take out the gum.  Stuff it in my paper cup next to the sofa and turn around.  Sara Mckinney throws up all over herself. I knew the second it happened.  It was a miracle.  I could have been kissing her when she threw up. That would have scarred me for life.  I may never have recovered.",40
I'm a miracle man.  Those lights are a miracle.,40
There you go.,40
So which type are you?,40
Do you feel comforted?,40
Yes.,40
What does it matter then?,40
Do you know what Colleen's last words were before they killed her?,40
"She said, ""See"", and then her eyes glazed a bit and she said... ""Tell Merrill to swing away.""",40
Do you know why she said that?,40
"Because the nerve endings in her brain were firing as she died, and some random memory of us at one of your baseball games popped into her head. There is no one watching out for us Merrill.  We're all on our own.",40
"For the kids protection.  All they were doing was watching TV from five a.m.  I felt like they were getting obsessed like you said. They should be playing furry, furry rabbit or tea party or something right?",41
"What's furry, furry rabbit?",41
That's a game isn't it? Anyway... There's been some interesting developments.,41
What time is it?,41
Eleven a.m.  They're gone.,41
But they're not really gone.  We just can't see them.  Early this morning a bird flew right at the area where the lights were hovering last night.,41
It stopped dead in the air and fell straight down.,41
"They caught it on tape and they've been playing it all morning.  They found the bird.  His head crushed in.  When you see the footage it looks like the bird flew into a wall in the sky. They think they have some invisible shield thing going, like an optical illusion.",41
The bird could have had a heart attack and crushed his head when he fell.,41
Already thought of.  Two other birds did the same thing an hour later.  Not as dramatic.  They lived.  But you could see they hit something.,41
"They're still there hovering.  In fact, some people think there's more of them now.  All over the place.  Over us even. And there's a theory about the crop circles now.  They think it could be some kind of landmark, visual mapping system   so they can navigate.  Coordinate.  Makes sense doesn't it?",41
So the aliens can't read our minds.,43
Oh.,43
They tell you everything in this book.,43
"It says they're probably very small   like my height   because, as their brains developed, there was no use for physical development. It says they're probably vegetarians, because they would have realized the benefits of such a diet.",43
Who wrote this book?,43
Scientists who have been persecuted for their beliefs.,43
That means they're unemployed.,43
"Dad, are you going to be serious?",43
"Yeah, serious.",43
I don't know what got into me.,43
There are pictures.,43
"Dr. Bimboo, one of the authors of the book",43
Bimboo?,43
Dad.,43
I just asked his name.,43
You had a tone.,43
He says there are two reasons why Extraterrestrials would visit us.,43
To make contact in the spirit of exploration and furthering the knowledge of the universe.,43
Or the other reason... They're hostile.  They've used up the resources on their planet and are looking to harvest our planet next.,43
Looks a little like our house doesn't it?,43
The same windows.,43
That's weird.,43
That's enough from Dr. Bimboo for now.  Everybody in this house needs to calm down and eat some fruit or something.,43
Father.,43
Hello?,43
I'm going out for a few minutes. No one leaves this house.  No one.,44
Where are you going?,44
Ray Reddy's house.,44
Why?,44
I think he just called here.,44
You don't think something bad will happen do you Morgan?,45
"Why, you got one of your feeling again?",45
Is it bad?,45
"If it does, I won't let anything bad happen to you.",45
I don't want you to die.,45
Who said I was going to die?,45
Who said I was going to die?,45
Come on Bo.  I need to keep a look out.,45
Hello Ray.,47
What happened Ray?,47
"I wrote your number down to call you.  It's been sitting next to the phone for six months.  When I knew it was inside the house, I couldn't think of any other number to call. I panicked. Thank you for coming Father.",47
You're welcome Ray.,47
"I worked so long that night.  I ain't never fallen asleep driving before.  And never since.  Most of the ride home, there wasn't a car insight in either direction.  If I'd fallen asleep then, I'd a ended up in a ditch with a head ache.  It had to happen at that right moment. That certain ten-fifteen seconds when I passed her walking.  It was like it was meant to be.",47
"I guess if this is the end of the world, I'm screwed right?  People who kill Reverends' wives aren't exactly ushered to the front of the line in heaven.",47
Where you going Ray?,47
"To the lake.  The way I see it, all the places marked in the crops and such   none of them are really near water.  I figure they don't like water. Can't be any worse than here.",47
"Ray, did you see one of them?",47
I'm truly sorry for what I've done to you and yours.,47
And don't open my pantry Father.  I locked one of them in there.,47
... The startling footage we're about to show you was photographed by a forty-two year old Romero Valadares.,48
"This video was taken yesterday afternoon at his son's seventh birthday, in the city of Passo Fundo, Brazil.  It was sent to the local news bureau there and satellited to us a few minutes ago. All initial opinions are; this is genuine.",48
"What you are about to see, may disturb you.",48
Move children!  Vamonos!,48
Esta atras da garagem!  Esta atras de ai!  Is behind!,48
Hello.,49
The police are here... I am with them... I am a police officer. I just want to talk to you.,49
We know all about the hoax.  We already took some of your friends downtown in the paddy wagon. Paddy wagon?,49
"If you tell us your name and why you did it, we'll give you the same deal we gave the others.  Don't throw away your life son.",49
Douche bag.,50
They're skin changes color.  That's why we couldn't see him that night.,51
"Tell me something Morgan.  In that book of your, did they happen to detail what would happen if they were hostile?",51
"Yes.  They would invade us using only ground tactics.  Hand to hand combat.  They wouldn't use their technology or fight an airborne battle, because they would know we would eventually use nuclear weapons and the planet would be useless to them.",51
"I'm sorry, what book is this?",51
Did they say what our chances would be if they did invade?,51
"They said one of two things could happen.  One, they fight and are defeated and leave to return again with full forces hundreds or even thousands of years later.",51
What's two?,51
They win.,51
"What do you think about the idea that they don't like places near water, and we might be safe from them near a lake or something?",51
Sounds made up.,51
"We can choose to believe it and pack up and leave. Or we can stay here.  Board up this house.  Hide inside our home and wait it out.  Either way, at least we'll be together. All those in favor of the lake, raise your hand.",51
"All those in favor of home, raise your hand.",51
How do we know boards will do anything?,51
"Because, they seem to have trouble with pantry doors.",51
Come quick!,53
"Tel Aviv joins Nairobi, Lagos and Jerusalem as the latest to confirm the appearance of lights.  There are lights in the skies over an estimated two hundred and seventy four cities.  That total could be as high as four hundred within the hour.",53
They decided to show themselves.,53
They think these look like stages immediately proceeding an attack maneuver.,53
It's like War of the Worlds.,53
