text,scene
What'd you see?!,26
Hold your fire! Hold your fire!,26
"One enemy runs and you break discipline and chase it?! Think, marines. Stay alive.",26
The sergeant is right. Stay on course. We have a mission...,26
Holy shit.,26
How many rounds it take?,26
Enough.,26
You okay?,26
"They're real, bro. I kept prayin' they wouldn't be...",26
Quiet.,26
"What is it, sergeant?",26
That thing running down the street... That was to draw us in...,26
"They're coming. We took the bait, now they're cutting us off.",26
I can't see a goddamn thing!,26
Light it up!,26
"Mottola, get on the radio. See if we can get some air support.",26
Contact front! Contact front!,26
What are we shooting at?!,26
Lieutenant. Command says air power is totally committed. Enemy contact all over the area...,26
"Ahh, shit! It's burning!",26
"My face, man...! How's my face?",26
"Ugly as ever, bro.",26
Fall back! Here!,26
"We can hold this position, Lieutenant!",26
We're gonna get pinned down!,26
"Sir, these things seem to be operating tactically! Don't let them dictate your decisions...",26
"Move to live, marines!",26
It's an ambush. This is the kill zone!,26
Jesus! Oh my God!,26
Keep your shit together!,26
What the hell are those things?!,26
They're the goddamn enemy.,26
"Yeah, and there's a million of 'em!",26
Where'd they come from?! Why'd they come here?!,26
Everyone... just calm down.,26
Calm down?! We keep shooting them... Why don't they die?!,26
"Stow that shit, Private. Watch the yard. Secure the back. We're not dyin' here today.",26
You okay?,26
I know. These things'll kill me.,26
"Hell, now that just ain't fair.",26
"Sir, what are your orders?",26
I led us right into that ambush.,26
Sir. Your orders.,26
Let's figure out how we get out of here. We'll medevac the wounded from that park.,26
Radio the FOB. Get us a medevac at that park by the community center.,26
"I can't see, Motorola.",26
You'll be okay.,26
"You're one shitty liar, bro.",26
"Hey, where the hell is Lenihan?!",26
"I'll go for Lenihan, sir.",28
"All right. We'll package the wounded, then rally on 10th street. Mottola, Imlay. Go with the sergeant.",28
"We got your six, Sergeant. Anything you need.",28
What I need is for you to keep quiet. And stay close.,28
Right. Got it. Quiet.,28
"Starting now, Private.",28
Motorola? You copy?,30
Lenihan. This is Sgt. Nantz...,30
"Sergeant, Jesus, I had to turn the radio off..'. These things are everywhere!",30
"We're coming for you, Lenihan. What's your location?",31
I'm in a garage... I can see two palm trees right next to it. House is white with black shutters...,32
Is the house a two-story?,32
"Lenihan, is the house a...?",32
Lenihan...? Lenihan...?,33
Oh my God... What the hell are these things?,35
"They're butt ugly, that's what they are.",35
"We're gonna get you to the medevac, Private.",35
"Thank you, Sergeant. Thanks for coming for me.",35
But Lenihan...,35
