text,scene
... show him what you've got.,31
"That's right, dearie, Let him have the lot!",31
...let him have the lot.,31
"Old men, young men, take'em as they come! Harbour rats and alley cats And every kind of scum! Poor men, rich men, leaders of the land - See them with their trousers off, They're never quite as grand! All it takes is money in your hand!",31
"Lovely ladies Going for a song,",31
Got a lot of callers But they never stay for long...,31
"Come on, Captain, you can wear your shoes. Don't it make a change to have a girl who can't refuse?",31
Easy money lying on a bed. Just as well they never see The hate that's in your head! Don't they know they're making love To one already dead?,32
"There was a time when men were kind, When their voices were soft And their words inviting. There was a time when love was blind And the world was a song And the song was exciting. There was a time... Then it all went wrong.",33
"I dreamed a dream in time gone by, When hope was high And life worth living. I dreamed that love would never die. I dreamed that God would be forgiving.",33
"Then I was young and unafraid And dreams were made and used and wasted. There was no ransom to be paid, No song unsung, no wine untasted.",33
But the tigers come at night With their voices soft as thunder As they tear your hope apart As they turn your dream to shame.,33
"He slept a summer by my side, He filled my days with endless wonder. He took my childhood in his stride But he was gone when autumn came.",33
And still I dream he'll come to me! That we will live the years together... But there are dreams that cannot be And there are storms we cannot weather...,33
I had a dream my life would be So different from this hell I'm living - So different now from what it seemed! Now life has killed the dream I dreamed.,33
"Here's something new. I think I'll give it a try. Come closer, you! I like to see what I buy. The usual price For just one slice of your pie.",34
"I don't want you! No! No, M'sieur! Let me go!",34
Is this a trick? I won't pay more!,34
"No, not at all!",34
"You've got some nerve, you little slut! You've got some gall! It's the same with a tart as it is with a grocer The customer sees what he gets in advance It's not for the whore to say ""yes sir"" or ""no sir"" It's not for the harlot to pick and to choose or to lead me a dance!",34
"I'll kill you, you bastard! Try any of that! Even a whore who has gone to the bad Won't be had by a rat!",34
"By Christ you'll pay for what you've done! This rat will make you bleed, you'll see! I guarantee I'll make you suffer! For this disturbance of the peace For this insult to life and property!",34
"I beg you, don't report me, sir. I'll do whatever you may want.",34
Make your excuse to the police!,34
"Tell me quickly what's the story. Who saw what and why and where? Let him give a full description, Let him answer to Javert! In this nest of whores and vipers Let one speak who saw it all. Who laid hands on this good man here? What's the substance of this brawl?",34
"Javert, would you believe it? I was walking, it was dark When this prostitute attacked me You can see she's left her mark!",34
"She will answer for her actions When you make a full report. You may rest assured, M'sieur, That she will answer to the court.",34
"There's a child who sorely needs me, Please, m'sieur, she's but that high. Holy God, is there no mercy? If I go to jail she'll die.",34
"I have heard such protestations Every day for twenty years. Let's have no more explanations,",34
Save your breath and save your tears.,34
"A moment of your time, Javert. I do believe this woman's tale.",34
Monsieur le Mayor!,34
"You've done your duty. Let her be. She needs a doctor, not a jail.",34
Monsieur le Mayor!,34
Can this be?,34
Where will she end - This child without a friend?,34
I've seen your face before. Show me some way to help you. How have you come to grief In such a place as this?,34
"M'sieur, don't mock me now, I pray It's hard enough I've lost my pride. You let your foreman send me away. Yes, you were there And turned aside. I never did no wrong.",34
Is it true what I've done -,34
My daughter's close to dying.,34
- to an innocent soul?,34
If there's a God above -,34
Had I only known then!,34
He'd let me die instead.,34
In His name my task has just begun. I will her to the hospital.,34
Monsieur le Mayor!,34
Bring Cosette back to me.,34
Where is she?,34
At an inn in Montfermeil...,34
Monsieur le Mayor!,34
I will see it done! I will send for her immediately!,34
"From Paris, Monsieur.",35
"Monsieur le Mayor I have a crime to declare! I have disgraced The uniform that I wear. I've done you wrong, Let no forgiveness be shown. I've been as hard On every rogue I have known. I'll bear the blame, I must be treated Just the same.",36
"I don't understand. What is this crime, Javert?",36
"I mistook you for a convict, I have made a false report. Now I learn they've caught the culprit - He's about to face the court.",36
"And of course the thief denies it, You'd expect that from a con. But he couldn't run for ever, No, not even Jean Valjean.",36
"You say this man denies it all, And gives no sign of understanding or repentance? You say this man is going to trial, And that he's sure to be returned to serve his sentence?",36
"He will pay, and so must I. Press charges against me, sir!",36
"You have only done your duty It's a minor sin at most. All of us have been mistaken You'll return, sir, to your post.",36
Must I do as you say?,36
It's your duty to obey!,36
They think that man is me - Without a second glance. This stranger they have found - This man could be my chance!,36
Why should I save his hide? Why should I right this wrong? When I have come so far And struggled for so long?,36
"If I speak I am condemned. If I stay silent, I am damned!",36
I am the master of hundreds of workers - They all look to me. Can I abandon them? How would they live If I am not free?,36
"If I speak they are condemned. If I stay silent, I am damned!",36
"Who am I? Can I condemn this man to slavery? Pretend I do not feel his agony? This innocent who bears my face, Who goes to judgement in my place... Who am I?",37
Can I conceal myself for ever more? Pretend I'm not the man I was before? And must my name until I die Be no more than an alibi?,38
Must I lie? How can I ever face my fellow men? How can I ever face myself again?,39
